,browser8,addchar8,delchar8,buy8,fav8,click8,browser4,addchar4,delchar4,buy4,fav4,click4,browser2,addchar2,delchar2,buy2,fav2,click2,user_id,sku_id
0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,4.0,280086.0,131300.0
1,4.0,1.0,0.0,1.0,0.0,11.0,4.0,1.0,0.0,1.0,0.0,11.0,4.0,1.0,0.0,1.0,0.0,11.0,304798.0,135409.0
2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,304798.0,28295.0
3,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,304798.0,116881.0
4,5.0,1.0,0.0,1.0,0.0,10.0,5.0,1.0,0.0,1.0,0.0,10.0,5.0,1.0,0.0,1.0,0.0,10.0,247280.0,153395.0
5,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,229437.0,149854.0
6,5.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,11.0,298237.0,123773.0
7,3.0,1.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,6.0,235628.0,5825.0
8,2.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,4.0,224102.0,109083.0
9,15.0,2.0,0.0,1.0,1.0,34.0,15.0,2.0,0.0,1.0,1.0,34.0,15.0,2.0,0.0,1.0,1.0,34.0,261538.0,49367.0
10,4.0,2.0,0.0,1.0,1.0,14.0,4.0,2.0,0.0,1.0,1.0,14.0,4.0,2.0,0.0,1.0,1.0,14.0,263319.0,132835.0
11,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,222651.0,148421.0
12,16.0,5.0,0.0,1.0,0.0,22.0,16.0,5.0,0.0,1.0,0.0,22.0,16.0,5.0,0.0,1.0,0.0,22.0,286958.0,147796.0
