sku_id,a1,a2,a3,cate,brand,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,buy_addcart_ratio,buy_browse_ratio,buy_click_ratio,buy_favor_ratio,comment_num,has_bad_comment,bad_comment_rate,average_delta_time
10,3,1,1,8,489,,,,,,,,,,,,,,
100002,3,2,2,8,489,,,,,,,,,,,,,,
100003,1,-1,-1,8,30,,,,,,,,,,,,,,
100006,1,2,1,8,545,,,,,,,,,,,,,,
10001,-1,1,2,8,244,,,,,,,,,,,,,,
100016,3,-1,2,8,214,,,,,,,,,,,,,,
100029,3,2,2,8,214,,,,,,,,,,,,,,
10003,3,1,2,8,214,,,,,,,,,,,,,,
100045,2,2,2,8,124,,,,,,,,,,,,,,
100057,3,1,2,8,306,,,,,,,,,,,,,,
100069,1,2,-1,8,403,,,,,,,,,,,,,,
100076,3,2,1,8,214,,,,,,,,,,,3.0,1.0,0.0227,
100097,1,1,2,8,545,,,,,,,,,,,3.0,1.0,0.087,
10011,3,1,1,8,214,3.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,,4.0,1.0,0.0239,
100112,3,1,2,8,489,,,,,,,,,,,,,,
100117,-1,1,2,8,174,,,,,,,,,,,,,,
100119,2,1,2,8,812,10.0,0.0,1.0,0.0,0.0,26.0,,0.0,0.0,,1.0,0.0,0.0,
100129,3,1,2,8,214,,,,,,,,,,,,,,
100134,3,1,2,8,214,,,,,,,,,,,,,,
100137,1,-1,1,8,403,,,,,,,,,,,2.0,0.0,0.0,
100141,3,1,2,8,214,,,,,,,,,,,,,,
10015,2,1,1,8,124,,,,,,,,,,,,,,
100150,3,-1,-1,8,214,,,,,,,,,,,,,,
100152,3,1,-1,8,306,,,,,,,,,,,3.0,0.0,0.0,
100154,3,1,1,8,489,,,,,,,,,,,,,,
100155,3,2,2,8,214,,,,,,,,,,,,,,
100172,3,1,1,8,214,,,,,,,,,,,,,,
100174,2,2,1,8,812,117.0,5.0,2.0,0.0,2.0,306.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
100177,3,2,1,8,489,,,,,,,,,,,,,,
100183,3,-1,2,8,489,,,,,,,,,,,,,,
100201,3,1,1,8,489,,,,,,,,,,,,,,
100209,3,1,2,8,214,,,,,,,,,,,,,,
100215,3,1,1,8,489,,,,,,,,,,,,,,
100253,2,2,2,8,124,,,,,,,,,,,,,,
100272,3,-1,2,8,489,,,,,,,,,,,,,,
100285,3,1,1,8,489,,,,,,,,,,,3.0,1.0,0.0667,
100290,3,1,2,8,214,,,,,,,,,,,,,,
100299,3,1,2,8,214,,,,,,,,,,,,,,
100302,3,1,2,8,214,,,,,,,,,,,,,,
10031,2,1,2,8,635,,,,,,,,,,,,,,
100310,3,2,-1,8,214,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
100312,3,2,1,8,489,,,,,,,,,,,,,,
100318,3,1,-1,8,306,,,,,,,,,,,3.0,0.0,0.0,
100330,1,1,2,8,545,,,,,,,,,,,,,,
10034,2,1,1,8,635,,,,,,,,,,,,,,
100344,3,1,1,8,214,0.0,0.0,0.0,0.0,0.0,10.0,,,0.0,,,,,
100351,1,-1,2,8,885,,,,,,,,,,,,,,
100353,3,-1,1,8,489,,,,,,,,,,,2.0,0.0,0.0,
100356,3,1,1,8,214,,,,,,,,,,,4.0,1.0,0.0913,
100361,2,1,2,8,812,,,,,,,,,,,,,,
100362,1,-1,1,8,658,,,,,,,,,,,,,,
100364,3,1,2,8,214,,,,,,,,,,,,,,
10037,1,-1,2,8,658,,,,,,,,,,,,,,
100372,-1,-1,1,8,321,,,,,,,,,,,,,,
100377,3,1,1,8,214,,,,,,,,,,,,,,
10038,-1,1,-1,8,790,,,,,,,,,,,2.0,0.0,0.0,
100390,-1,1,2,8,875,,,,,,,,,,,,,,
100392,3,1,1,8,489,,,,,,,,,,,,,,
100399,3,1,2,8,489,,,,,,,,,,,,,,
100405,1,1,2,8,30,,,,,,,,,,,2.0,0.0,0.0,
100431,2,1,1,8,812,,,,,,,,,,,,,,
100434,2,1,2,8,124,,,,,,,,,,,,,,
100436,3,1,2,8,214,,,,,,,,,,,,,,
100439,2,1,2,8,124,,,,,,,,,,,,,,
100440,2,1,2,8,812,,,,,,,,,,,,,,
100444,3,-1,2,8,489,,,,,,,,,,,,,,
100450,3,1,2,8,489,,,,,,,,,,,,,,
100456,3,1,1,8,489,,,,,,,,,,,,,,
100457,1,1,2,8,545,,,,,,,,,,,,,,
100462,3,1,2,8,214,436.0,16.0,4.0,0.0,5.0,1220.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,
100465,3,1,2,8,489,,,,,,,,,,,,,,
100466,3,1,1,8,306,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,4.0,1.0,0.0241,
10047,3,-1,2,8,489,,,,,,,,,,,,,,
100486,-1,1,1,8,766,,,,,,,,,,,,,,
1005,1,1,2,8,800,,,,,,,,,,,,,,
10051,3,-1,2,8,489,,,,,,,,,,,,,,
100516,1,2,1,8,30,,,,,,,,,,,,,,
100521,3,1,2,8,214,,,,,,,,,,,3.0,1.0,0.0294,
100536,1,-1,-1,8,800,,,,,,,,,,,,,,
100555,2,1,2,8,812,,,,,,,,,,,,,,
100557,1,2,1,8,545,,,,,,,,,,,3.0,0.0,0.0,
100565,3,1,2,8,214,,,,,,,,,,,4.0,1.0,0.0413,
100567,3,1,2,8,214,,,,,,,,,,,3.0,1.0,0.0645,
10057,-1,-1,1,8,321,,,,,,,,,,,,,,
100577,-1,1,1,8,321,,,,,,,,,,,,,,
10058,3,1,2,8,214,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,4.0,1.0,0.0444,
100582,1,1,1,8,693,1.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,,4.0,1.0,0.0333,
100584,2,1,2,8,124,,,,,,,,,,,,,,
100585,3,2,2,8,214,,,,,,,,,,,,,,
100586,3,1,-1,8,306,,,,,,,,,,,4.0,0.0,0.0,
100589,3,2,2,8,214,953.0,12.0,4.0,0.0,14.0,2494.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,
100595,3,1,1,8,489,,,,,,,,,,,,,,
100603,3,1,2,8,214,,,,,,,,,,,,,,
100608,1,1,1,8,30,,,,,,,,,,,,,,
100613,1,1,2,8,658,,,,,,,,,,,,,,
100616,1,1,1,8,30,,,,,,,,,,,,,,
100659,1,2,2,8,403,87.0,6.0,2.0,0.0,0.0,212.0,0.0,0.0,0.0,,2.0,1.0,0.25,
100672,3,1,1,8,214,,,,,,,,,,,,,,
100677,1,1,2,8,545,3.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,,,,,
100688,3,2,1,8,214,,,,,,,,,,,,,,
10069,1,-1,2,8,545,,,,,,,,,,,,,,
100694,1,1,1,8,545,,,,,,,,,,,,,,
100724,2,1,2,8,623,,,,,,,,,,,,,,
100728,3,2,2,8,489,,,,,,,,,,,,,,
100734,3,1,1,8,214,,,,,,,,,,,,,,
100742,3,1,1,8,214,,,,,,,,,,,,,,
100743,2,1,2,8,623,,,,,,,,,,,,,,
100744,3,-1,2,8,214,220.0,5.0,0.0,0.0,1.0,570.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
100748,3,1,1,8,214,,,,,,,,,,,,,,
100762,3,2,2,8,214,,,,,,,,,,,,,,
100767,3,2,2,8,489,,,,,,,,,,,,,,
100770,3,1,2,8,571,,,,,,,,,,,,,,
100783,3,1,2,8,214,,,,,,,,,,,,,,
100785,-1,-1,1,8,556,,,,,,,,,,,2.0,0.0,0.0,
100796,3,1,2,8,489,,,,,,,,,,,,,,
100797,-1,-1,1,8,801,,,,,,,,,,,,,,
100799,3,2,-1,8,214,,,,,,,,,,,,,,
100802,3,1,2,8,214,,,,,,,,,,,,,,
100803,3,1,2,8,214,,,,,,,,,,,,,,
100812,2,1,2,8,623,,,,,,,,,,,,,,
100814,3,2,2,8,489,,,,,,,,,,,1.0,0.0,0.0,
100833,3,-1,2,8,214,,,,,,,,,,,,,,
100834,1,1,-1,8,885,,,,,,,,,,,,,,
100838,3,2,2,8,214,,,,,,,,,,,2.0,0.0,0.0,
100846,3,2,2,8,489,,,,,,,,,,,,,,
100852,2,1,2,8,101,,,,,,,,,,,,,,
100855,3,1,2,8,214,,,,,,,,,,,,,,
100857,3,2,2,8,214,,,,,,,,,,,2.0,0.0,0.0,
100868,3,-1,2,8,489,,,,,,,,,,,,,,
100869,3,2,2,8,214,,,,,,,,,,,,,,
100876,3,-1,-1,8,489,,,,,,,,,,,,,,
100881,3,2,1,8,489,,,,,,,,,,,,,,
100887,2,2,-1,8,623,,,,,,,,,,,,,,
10089,1,1,2,8,596,1080.0,78.0,21.0,1.0,15.0,2838.0,0.0128205128205,0.000925925925926,0.000352360817477,0.0666666666667,3.0,1.0,0.1042,0 days 00:00:00.000000000
100893,3,2,2,8,214,,,,,,,,,,,4.0,1.0,0.0204,
1009,1,2,2,8,545,,,,,,,,,,,4.0,1.0,0.0746,
100902,3,-1,2,8,214,,,,,,,,,,,,,,
100906,3,1,2,8,214,,,,,,,,,,,,,,
100908,2,1,1,8,812,384.0,31.0,12.0,0.0,6.0,854.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0294,
100914,3,2,2,8,214,50.0,0.0,0.0,0.0,0.0,135.0,,0.0,0.0,,2.0,0.0,0.0,
100918,3,1,2,8,489,,,,,,,,,,,,,,
100922,3,1,2,8,214,,,,,,,,,,,1.0,1.0,1.0,
100937,3,2,1,8,306,,,,,,,,,,,,,,
100940,3,1,1,8,214,,,,,,,,,,,,,,
100947,3,1,2,8,489,,,,,,,,,,,,,,
100950,1,1,2,8,800,38.0,5.0,2.0,0.0,0.0,74.0,0.0,0.0,0.0,,3.0,1.0,0.0833,
100954,3,1,2,8,489,,,,,,,,,,,2.0,0.0,0.0,
100961,3,1,1,8,489,,,,,,,,,,,,,,
100996,3,1,1,8,214,,,,,,,,,,,,,,
100999,-1,-1,1,8,605,,,,,,,,,,,,,,
101000,3,1,-1,8,489,,,,,,,,,,,,,,
101001,1,1,2,8,885,820.0,25.0,19.0,1.0,7.0,2215.0,0.04,0.00121951219512,0.000451467268623,0.142857142857,4.0,1.0,0.0469,0 days 15:19:25.000000000
101006,3,1,2,8,489,,,,,,,,,,,,,,
101010,3,1,1,8,214,,,,,,,,,,,,,,
101017,2,2,2,8,623,,,,,,,,,,,,,,
101027,3,2,1,8,489,,,,,,,,,,,,,,
101040,3,1,2,8,489,,,,,,,,,,,,,,
101048,1,1,-1,8,403,,,,,,,,,,,3.0,1.0,0.0313,
101062,-1,2,-1,8,562,,,,,,,,,,,2.0,0.0,0.0,
101063,1,1,1,8,545,,,,,,,,,,,,,,
101068,2,1,2,8,635,,,,,,,,,,,,,,
101083,1,2,2,8,885,197.0,1.0,1.0,0.0,0.0,503.0,0.0,0.0,0.0,,,,,
101085,3,1,-1,8,489,,,,,,,,,,,3.0,0.0,0.0,
101116,3,1,1,8,214,129.0,0.0,0.0,0.0,1.0,428.0,,0.0,0.0,0.0,3.0,0.0,0.0,
101120,1,1,2,8,427,,,,,,,,,,,,,,
101126,1,2,2,8,403,22.0,1.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,,,,,
101128,3,1,2,8,489,,,,,,,,,,,,,,
101129,2,1,2,8,124,,,,,,,,,,,,,,
101133,1,1,1,8,403,142.0,1.0,1.0,0.0,4.0,425.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0355,
101134,2,1,2,8,124,18.0,0.0,0.0,0.0,2.0,30.0,,0.0,0.0,0.0,2.0,0.0,0.0,
101138,3,2,2,8,489,,,,,,,,,,,,,,
10114,1,1,2,8,545,,,,,,,,,,,3.0,1.0,0.0263,
101144,3,1,1,8,214,,,,,,,,,,,2.0,0.0,0.0,
101148,3,1,2,8,214,,,,,,,,,,,,,,
101156,3,2,2,8,214,,,,,,,,,,,,,,
101170,-1,2,1,8,673,,,,,,,,,,,,,,
101177,3,2,2,8,214,,,,,,,,,,,,,,
