,buy_duration
0,0 days 00:00:54.000000000
1,0 days 00:00:00.000000000
2,0 days 00:01:52.000000000
3,0 days 00:02:14.000000000
4,0 days 00:04:24.000000000
5,0 days 00:00:09.000000000
6,0 days 00:07:02.000000000
7,0 days 00:06:55.000000000
8,0 days 00:02:20.000000000
9,0 days 00:04:33.000000000
10,0 days 00:13:53.000000000
11,0 days 00:05:45.000000000
12,0 days 00:28:32.000000000
13,0 days 00:04:15.000000000
14,0 days 00:36:34.000000000
15,0 days 00:47:18.000000000
16,0 days 00:21:20.000000000
17,0 days 00:00:00.000000000
18,0 days 00:00:31.000000000
19,0 days 00:01:47.000000000
20,0 days 00:03:30.000000000
21,0 days 01:08:15.000000000
22,0 days 03:01:27.000000000
23,0 days 00:14:03.000000000
24,0 days 00:56:52.000000000
25,0 days 00:01:06.000000000
26,0 days 00:44:37.000000000
27,0 days 00:01:11.000000000
28,0 days 00:00:00.000000000
29,0 days 00:02:20.000000000
30,0 days 00:08:05.000000000
31,0 days 00:07:09.000000000
32,0 days 05:39:19.000000000
33,0 days 00:17:09.000000000
34,0 days 00:14:58.000000000
35,0 days 00:09:56.000000000
36,0 days 00:05:25.000000000
37,0 days 00:14:04.000000000
38,0 days 00:01:27.000000000
39,0 days 00:47:08.000000000
40,0 days 00:10:09.000000000
41,0 days 00:20:00.000000000
42,0 days 00:06:19.000000000
43,0 days 00:12:15.000000000
44,0 days 00:25:20.000000000
45,0 days 00:52:45.000000000
46,0 days 00:14:55.000000000
47,0 days 00:00:00.000000000
48,0 days 01:11:29.000000000
49,0 days 01:31:16.000000000
50,0 days 04:10:42.000000000
51,0 days 00:23:54.000000000
52,0 days 00:04:47.000000000
53,0 days 00:54:35.000000000
54,0 days 00:04:12.000000000
55,0 days 00:18:21.000000000
56,0 days 00:04:41.000000000
57,0 days 00:02:22.000000000
58,0 days 00:12:14.000000000
59,0 days 01:17:44.000000000
60,0 days 00:02:18.000000000
61,0 days 00:01:12.000000000
62,0 days 02:33:38.000000000
63,0 days 01:05:26.000000000
64,0 days 00:41:54.000000000
65,0 days 00:14:17.000000000
66,0 days 00:53:50.000000000
67,0 days 00:06:40.000000000
68,0 days 09:30:55.000000000
69,0 days 00:38:41.000000000
70,0 days 00:06:32.000000000
71,0 days 00:00:43.000000000
72,0 days 00:08:31.000000000
73,0 days 04:22:55.000000000
74,0 days 01:04:26.000000000
75,0 days 00:07:33.000000000
76,0 days 03:21:18.000000000
77,0 days 03:13:19.000000000
78,0 days 00:11:13.000000000
79,0 days 01:06:46.000000000
80,0 days 01:11:33.000000000
81,0 days 00:01:55.000000000
82,0 days 00:39:46.000000000
83,0 days 05:35:52.000000000
84,0 days 00:03:12.000000000
85,0 days 05:23:10.000000000
86,0 days 00:17:08.000000000
87,0 days 00:16:39.000000000
88,0 days 00:41:31.000000000
89,0 days 00:03:01.000000000
90,0 days 05:17:38.000000000
91,0 days 00:52:04.000000000
92,0 days 00:30:32.000000000
93,0 days 03:28:23.000000000
94,0 days 00:15:51.000000000
95,0 days 00:14:53.000000000
96,0 days 01:38:48.000000000
97,0 days 00:35:37.000000000
98,0 days 00:12:33.000000000
99,0 days 00:07:13.000000000
100,0 days 07:02:26.000000000
101,0 days 09:41:45.000000000
102,0 days 15:11:20.000000000
103,0 days 02:50:23.000000000
104,0 days 13:29:30.000000000
105,0 days 00:55:43.000000000
106,0 days 07:10:02.000000000
107,0 days 00:01:19.000000000
108,0 days 06:59:00.000000000
109,0 days 06:30:51.000000000
110,0 days 00:20:15.000000000
